ApartmentName,Address,AgentName,AgentPhone,AgentEmail,Reviews,ZipCode,CrimeRate,AirQualityIndex,PopulationDensity,Store,Mall,DistanceGroceryStore,DistanceBusStop,DistanceMall,BathroomCount,BedroomCount,Size,Rent,Floor,RestaurantName,Type,Hospitals,HospType
Dracton Tower,3446 randolph lsd,Burnaby Laskin,(682) 531-6927,b.laskin@abc.com,2.2,73084,9,7,177,Store278,Mall278,8.4,6.4,4.1,2,3,4269,1216,2,Staybridge Suites Dia,Hotel,FOREST HEALTH MEDICAL CENTER,Trauma centre
Westfield Apartment,6035 n branch canal,Carlie Rapping,(925) 333-5272,c.rapping@abc.com,5,77013,19,1,71,Store936,Mall936,7.1,6.5,10.8,2,2,3627,2061,4,Groovy Granola,Hotel,MIDMICHIGAN MEDICAL CENTER-CLARE,Rehabilitation
Draccoast Residency,7502 114th,Sibylle Boudjellaba,(906) 663-1518,s.boudjellaba@abc.com,1.5,77134,17,10,186,Store201,Mall201,7,4.7,1.7,1,1,2773,1421,2,Watkins Glen State Park Lower Gorge Snack,Cafe,MCLAREN GREATER LANSING,Children's hospital
Northmoor Heights,1290 burling,Valry Hallmann,(801) 875-6326,v.hallmann@abc.com,1.2,72140,28,5,175,Store433,Mall433,2.4,10.9,8.4,1,1,3980,2138,4,Cool Beans Playhouse ,Cafe,NORTH OTTAWA COMMUNITY HEALTH SYSTEM,Geriatric
Ashwick Tower,894 moffat,Kaiser Cybulski,(717) 983-0196,k.cybulski@abc.com,5,73555,11,12,164,Store754,Mall754,5,1.2,7.7,2,2,1832,898,4,Tulip Caterer,FineDining,MIDMICHIGAN MEDICAL CENTER-CLARE,Psychiatric
Strongmerrow Apartment,6081 ridgewood,Karisa Mussio,(831) 966-1840,k.mussio@abc.com,1.3,72241,14,4,163,Store390,Mall390,9.8,8.5,6.6,2,3,4355,1045,4,Dear Sub,Takeout,MCLAREN PORT HURON,Trauma centre
Estermead Residency,6393 busse,Halimeda Blanke,(623) 115-1197,h.blanke@abc.com,2.6,72636,9,12,187,Store835,Mall835,5,7.8,2.1,2,2,4272,1225,4,Fuffi 2000,FineDining,OAKLAWN HOSPITAL,Rehabilitation
Witchcoast Heights,5216 michigan lower,Fiona Shubert,(331) 997-3804,f.shubert@abc.com,1.1,72064,30,5,99,Store849,Mall849,4.8,6.3,5.1,2,2,3073,474,3,Smother Brothers,FineDining,MIDMICHIGAN MEDICAL CENTER-MIDLAND,Children's hospital
Estercoast Tower,3901 francis,Lucius Rieffel,(430) 673-3582,l.rieffel@abc.com,2.6,71428,30,3,82,Store149,Mall149,10.9,2.1,9,2,3,3958,2036,4,Franklin Square Senior Center,FineDining,BEAUMONT HOSPITAL - FARMINGTON HILLS,Geriatric
Greenborough Apartment,8599 columbia,Lonni Dangerfield,(410) 228-8008,l.dangerfield@abc.com,1.8,77918,12,6,145,Store831,Mall831,7.9,5.2,4.7,2,3,2150,1937,2,Christian Faith Fellowship,Coffehouse,ST JOHN MACOMB-OAKLAND HOSPITAL-MACOMB CENTER,Psychiatric
Faircrystal Residency,2785 jarvis,Derron Kelleher,(912) 118-1844,d.kelleher@abc.com,4.6,73558,8,8,71,Store478,Mall478,7.7,9.9,4.6,2,3,4469,564,2,Basil Docs Crestmoor,Coffehouse,SPARROW CARSON HOSPITAL,Trauma centre
Deermill Heights,1159 schreiber,Conrad Tringali,(715) 658-4530,c.tringali@abc.com,5,73113,23,10,140,Store445,Mall445,2.4,4,10.2,2,3,3004,2022,4,Gianas Deli & Catering,FineDining,BEAUMONT HOSPITAL - TRENTON,Rehabilitation
Oldlea Tower,453 waldron,Julee Padgett,(919) 525-2434,j.padgett@abc.com,3.4,76230,27,3,163,Store519,Mall519,8.1,4.1,7,1,1,1682,901,2,Glaze,FineDining,HENRY FORD WYANDOTTE HOSPITAL,Children's hospital
Rayhill Apartment,2832 137th,Austin Avrian-blajeni,(636) 373-7966,a.avrian-blajeni@abc.com,4.4,73836,5,10,137,Store612,Mall612,8.5,10.4,7.4,2,2,4241,1301,2,Darcys Dogs & Shrimp Shack,Tavern,MCLAREN LAPEER REGION,Geriatric
Newbourne Residency,9188 agatite,Nevin Ruback,(907) 525-5395,n.ruback@abc.com,2,77892,10,10,56,Store457,Mall457,9.6,7.2,2.5,2,2,3385,1373,2,Chuys,FineDining,MCLAREN OAKLAND,Psychiatric
Coldness Heights,1664 eisenhower sacramento av,Elayne Mcpeek,(406) 780-4894,e.mcpeek@abc.com,3,71419,19,3,153,Store926,Mall926,2.6,7.3,8.7,2,2,3568,1212,4,Blue Bayou,Bar,MCLAREN PORT HURON,Trauma centre
Starryley Tower,8905 lsd wacker dr nb,Marianne Galison,(407) 253-8037,m.galison@abc.com,3.2,73669,8,3,149,Store81,Mall81,3.9,2.4,8,2,2,2075,1418,4,Recovery Sports Grill Amsterdam,Bar,FOREST HEALTH MEDICAL CENTER,Rehabilitation
Crystalcliff Apartment,549 kennison,Karly Cazzola,(402) 919-1264,k.cazzola@abc.com,5,73706,7,10,163,Store987,Mall987,6.6,8.5,9.1,2,3,3794,1075,3,Coffee Beaner,Bar,HENRY FORD WYANDOTTE HOSPITAL,Children's hospital
Stonewyvern Residency,5307 drake,Baird Kurkjian,(754) 959-0606,b.kurkjian@abc.com,4.4,73887,25,6,127,Store424,Mall424,1.1,8.2,2.9,2,3,3644,408,2,Restaurant Depot,Hotel,ST JOSEPH MERCY HOSPITAL,Geriatric
Springmallow Heights,3343 cicero,Austin Valencik,(937) 850-7474,a.valencik@abc.com,5,71429,7,4,175,Store272,Mall272,6.2,9.7,3.5,2,3,2271,1743,4,Udderly Delicious,Hotel,BEAUMONT HOSPITAL - TRENTON,Psychiatric
Strongdell Tower,8543 farrell,Cello Zotti,(317) 850-3754,c.zotti@abc.com,4.7,76169,28,10,67,Store430,Mall430,8.9,3,6.5,2,2,2538,719,3,Childrens House,Icecream,NORTH OTTAWA COMMUNITY HEALTH SYSTEM,Trauma centre
Oldmoor Apartment,2645 dekalb,Johnnie Stein,(318) 173-8473,j.stein@abc.com,2.9,76122,24,12,145,Store394,Mall394,1.2,3.5,1,1,1,3613,1857,2,Ralphs Famous Italian Ices,Icecream,BEAUMONT HOSPITAL - TRENTON,Rehabilitation
Freyview Residency,6438 cta 69th st,Jody Pound,(318) 262-5654,j.pound@abc.com,4.5,73481,28,7,155,Store945,Mall945,10.3,6.8,6.7,2,2,1666,1049,2,Ralphs Ices,Icecream,HENRY FORD WYANDOTTE HOSPITAL,Children's hospital
Eastcastle Heights,3734 le moyne,Conrad Tringali,(715) 658-4530,c.tringali@abc.com,5,76391,30,6,83,Store508,Mall508,5.6,1.5,8.9,2,3,3658,846,4,Allegany Mountain Resort,Resort,MIDMICHIGAN MEDICAL CENTER-CLARE,Geriatric
Fairice Tower,5568 dan ryan 71st st,Keenan Feeney,(678) 305-1794,k.feeney@abc.com,1.3,73804,6,5,73,Store885,Mall885,3.5,6.1,1.1,1,1,4327,793,3,Prince Umberto Ii,FineDining,SPARROW CARSON HOSPITAL,Psychiatric
Blackburn Apartment,9548 claremont,Florrie Hickson,(470) 718-7838,f.hickson@abc.com,3.8,75092,28,7,158,Store879,Mall879,5.2,8.9,10.3,2,3,4482,1607,3,Hayloft Pub,Pub,NORTH OTTAWA COMMUNITY HEALTH SYSTEM,Trauma centre
Northwynne Residency,8425 rice,Dara Huttenback,(908) 195-9735,d.huttenback@abc.com,2.7,77614,29,3,120,Store33,Mall33,7,1.1,5.9,2,3,3126,1779,3,Homer Fire Dept Community Bldg,Cafeteria,ST JOSEPH MERCY HOSPITAL,Rehabilitation
Starryhill Heights,9638 yates,Georgiana Tracy,(312) 470-4713,g.tracy@abc.com,1.9,72455,30,2,186,Store164,Mall164,3,11,3.1,2,3,3214,686,2,Villa Vitale,Resort,ST JOHN MACOMB-OAKLAND HOSPITAL-MACOMB CENTER,Children's hospital
Stoneiron Tower,4852 magnet,Rodge Schnapp,(937) 135-1659,r.schnapp@abc.com,1.1,74917,27,3,110,Store399,Mall399,6.2,5.1,5.5,2,2,4176,1645,4,Sandwich Works Cafe,Takeout,MCLAREN GREATER LANSING,Geriatric
Summermage Apartment,8814 moe,Klement Winter,(815) 331-7890,k.winter@abc.com,3.5,72511,16,3,99,Store474,Mall474,7.8,3.9,8,1,1,4360,1027,2,Iannellis,FineDining,MCLAREN OAKLAND,Psychiatric
Starrywolf Residency,5106 ford city,Paige Colantoni,(269) 555-5204,p.colantoni@abc.com,2.6,74974,24,7,99,Store985,Mall985,3.2,5.2,3.9,2,2,3172,945,3,Grand Royale Hotel,Hotel,MIDMICHIGAN MEDICAL CENTER-MIDLAND,Trauma centre
Deerdell Heights,9210 nora,Munroe Mei,(779) 352-3345,m.mei@abc.com,5,77724,23,8,184,Store784,Mall784,6.9,7.2,6.9,2,2,3746,942,4,Jcc Coffee Shop,Coffeehouse,FOREST HEALTH MEDICAL CENTER,Rehabilitation
Deephollow Tower,7958 sedgwick,Korney Esquirol,(209) 739-5285,k.esquirol@abc.com,1.8,75755,30,5,78,Store8,Mall8,6.9,3.7,7.8,2,2,3329,768,3,The Greenstone At Mels Bakery & Cafe Fse,Bakery,ST JOHN MACOMB-OAKLAND HOSPITAL-MACOMB CENTER,Children's hospital
Orwyn Apartment,4942 sullivan,Kippie Lawlor,(619) 216-5877,k.lawlor@abc.com,5,74074,12,11,122,Store62,Mall62,6.2,6.8,3.2,2,2,2693,1292,3,Balmoral Home,Hotel,MCLAREN OAKLAND,Geriatric
Lightcastle Residency,7223 page,Karly Cazzola,(402) 919-1264,k.cazzola@abc.com,3,73647,24,11,135,Store174,Mall174,7.1,7.8,6.3,2,2,1894,1032,4,Canton Express Restaurant,Hotel,NORTH OTTAWA COMMUNITY HEALTH SYSTEM,Psychiatric
Faybush Heights,1062 carver,Shelli Saleh,(318) 790-3357,s.saleh@abc.com,1.6,76959,10,5,108,Store386,Mall386,9.3,3.3,6.2,1,1,3037,570,3,Beggars Pizza,Pizzeria,EDWARD W SPARROW HOSPITAL,Trauma centre
Snowness Tower,9094 elk grove,Diarmid Gallagher,(714) 930-0273,d.gallagher@abc.com,4.4,74318,15,10,173,Store327,Mall327,9.9,6.1,6.2,1,1,3849,534,2,Pandali Restaurant,Cafe,MIDMICHIGAN MEDICAL CENTER-MIDLAND,Rehabilitation
Stonesage Apartment,8274 39th,Oona Isaac,(612) 650-6528,o.isaac@abc.com,1.3,77370,22,6,92,Store214,Mall214,2.8,6.1,7.5,2,2,3378,1688,4,Ponys Pub,Pub,BEAUMONT HOSPITAL - WAYNE,Children's hospital
Highpine Residency,434 lowerlevelt2,Rodrick Spanier,(424) 125-7862,r.spanier@abc.com,2.5,71700,26,10,101,Store220,Mall220,3.4,6.5,9.7,1,1,4285,742,4,Joshuas Cafe,Cafe,MCLAREN OAKLAND,Geriatric
Bellbush Heights,3142 chicago skyway stony island av,Kendell Corvey,(816) 250-1619,k.corvey@abc.com,1.3,71667,18,10,99,Store583,Mall583,9.7,7.6,9.2,1,1,3481,1664,2,Mangiamo Pizza,Pizzeria,HENRY FORD WYANDOTTE HOSPITAL,Psychiatric
Newhollow Tower,4910 honore,Emmalee Paton,(832) 262-7280,e.paton@abc.com,5,72716,15,6,56,Store856,Mall856,6.4,9.7,2.1,2,3,3204,1176,4,Candlelight Tavern,Cafe,BEAUMONT HOSPITAL - FARMINGTON HILLS,Trauma centre
Shadowton Apartment,8771 bryn mawr av,Basilio Korzennik,(641) 951-3487,b.korzennik@abc.com,2.9,74694,28,12,166,Store760,Mall760,1.2,10,4,2,3,3085,1185,3,A & R Bakery,Bakery,ST JOHN MACOMB-OAKLAND HOSPITAL-MACOMB CENTER,Rehabilitation
Violetacre Residency,3796 granville,Valentine Horwitz,(630) 507-6355,v.horwitz@abc.com,1.7,73319,7,10,78,Store122,Mall122,1.9,2.5,9.1,2,2,2880,723,3,Hotel Roosevelt,FineDining,HENRY FORD WYANDOTTE HOSPITAL,Children's hospital
Greencourt Heights,3288 columbus ramp,Lizzy Von salis,(215) 609-3383,l.von@abc.com,1.3,73579,13,8,167,Store448,Mall448,6.3,3,6.1,1,1,2347,760,2,Grammies Place,Takeout,MCLAREN GREATER LANSING,Geriatric
Welllake Tower,2456 dan ryan ob dan ryan,Reagan Conlin,(321) 251-4459,r.conlin@abc.com,1.3,74430,16,2,83,Store843,Mall843,1.5,9.2,1.9,1,1,3401,804,3,Kikkos Koffee House,Coffehouse,SPARROW CARSON HOSPITAL,Psychiatric
Foxfort Apartment,8439 68th,Mignonne Kernan,(580) 661-7753,m.kernan@abc.com,3.6,75464,16,4,176,Store112,Mall112,1.4,6.4,1.6,2,2,1686,469,3,Staybridge Suites Dia,Hotel,MIDMICHIGAN MEDICAL CENTER-MIDLAND,Trauma centre
Newpond Residency,2269 vernon,Reid Ford,(947) 368-2235,r.ford@abc.com,3,78116,10,8,154,Store761,Mall761,7.6,1.3,6.2,2,3,4142,1980,3,Groovy Granola,Hotel,ST JOHN HOSPITAL AND MEDICAL CENTER,Rehabilitation
Brightwick Heights,9991 gullikson,Dominga Perechodiuk,(501) 304-3231,d.perechodiuk@abc.com,3.9,75106,19,2,92,Store858,Mall858,10.1,1.4,1.1,1,1,3009,1802,3,Watkins Glen State Park Lower Gorge Snack,Cafe,HENRY FORD WYANDOTTE HOSPITAL,Children's hospital
Redshore Tower,587 maplewood,Jarvis Krolewski,(256) 111-2102,j.krolewski@abc.com,2.8,73428,5,4,110,Store171,Mall171,4,6.4,1.9,2,2,3276,2099,2,Cool Beans Playhouse ,Cafe,ST JOSEPH MERCY HOSPITAL,Geriatric
Deepfield Apartment,6987 haynes,Alberta Mirtin-gonzalez,(231) 740-7553,a.mirtin-gonzalez@abc.com,1.1,74615,15,5,142,Store483,Mall483,1.5,1.4,7.9,1,1,2349,480,2,Tulip Caterer,FineDining,MIDMICHIGAN MEDICAL CENTER-CLARE,Psychiatric
Riverbourne Residency,1427 64th,Hans Runge,(925) 884-7787,h.runge@abc.com,2.5,77745,9,5,101,Store214,Mall214,2.8,1.1,10.3,1,1,2460,1323,4,Dear Sub,Takeout,HENRY FORD WYANDOTTE HOSPITAL,Trauma centre
Blackborough Heights,5437 jourdan,Naoma Rotnitzky,(407) 197-3945,n.rotnitzky@abc.com,1.9,76213,12,8,112,Store625,Mall625,5.9,7.7,3.9,2,3,1902,1320,4,Fuffi 2000,FineDining,BEAUMONT HOSPITAL - TRENTON,Rehabilitation
Wellpine Tower,511 exchange,Lorrie Luther,(432) 981-8351,l.luther@abc.com,1.4,73707,24,12,154,Store275,Mall275,4.5,10.5,2,1,1,3711,1037,2,Smother Brothers,FineDining,SOUTHEAST MICHIGAN SURGICAL HOSPITAL,Children's hospital
Goldmerrow Apartment,5297 field,Reg Brenner,(614) 750-0223,r.brenner@abc.com,3.2,77658,29,9,59,Store683,Mall683,5.4,3.9,2.5,2,2,3454,1644,3,Franklin Square Senior Center,FineDining,SPARROW CARSON HOSPITAL,Geriatric
Deepmeadow Residency,8503 talman,Christyna Clinton,(301) 190-8775,c.clinton@abc.com,4.9,74894,6,8,182,Store637,Mall637,1.1,1.3,5.2,1,1,2723,1078,2,Christian Faith Fellowship,Coffehouse,HENRY FORD WYANDOTTE HOSPITAL,Psychiatric
Oldwilde Heights,9937 anchor,Jody Pound,(318) 262-5654,j.pound@abc.com,2,74079,17,3,64,Store500,Mall500,8.6,2.1,4.9,2,2,1689,478,4,Basil Docs Crestmoor,Coffehouse,BEAUMONT HOSPITAL - TRENTON,Trauma centre
Woodwall Tower,5170 groveland park,Royal Oro,(323) 914-5586,r.oro@abc.com,2.2,71333,20,4,102,Store191,Mall191,7.3,5.8,5.3,2,2,2177,1531,3,Gianas Deli & Catering,FineDining,NORTH OTTAWA COMMUNITY HEALTH SYSTEM,Rehabilitation
Aelland Apartment,7194 81st,Schuyler Jespersen,(938) 555-4117,s.jespersen@abc.com,5,72752,27,6,100,Store434,Mall434,1.2,4.5,1.9,1,1,4287,1510,4,Glaze,FineDining,ST JOHN HOSPITAL AND MEDICAL CENTER,Children's hospital
Northwell Residency,6616 hamlet,Ariana Christian-herot,(539) 589-0582,a.christian-herot@abc.com,2.7,72853,25,8,143,Store71,Mall71,9.6,5.4,8.7,2,2,2285,404,3,Darcys Dogs & Shrimp Shack,Tavern,MCLAREN MACOMB,Geriatric
Pryshore Heights,6071 103rd,Cozmo Kimberk,(786) 303-6079,c.kimberk@abc.com,4.4,72770,29,9,75,Store241,Mall241,3.2,1.4,7.9,2,3,3735,1767,2,Chuys,FineDining,SPARROW CARSON HOSPITAL,Psychiatric
Fallhollow Tower,3627 ozanam,Felipa Cybulski,(414) 743-0388,f.cybulski@abc.com,1.7,71359,7,2,96,Store321,Mall321,10,8.3,1.4,1,1,3063,2106,4,Blue Bayou,Bar,MCLAREN OAKLAND,Trauma centre
Dractown Apartment,8204 mont clare,Dulce Rizzi,(317) 339-6716,d.rizzi@abc.com,5,77423,5,6,101,Store361,Mall361,8.3,7.4,9.2,2,2,3720,1541,2,Recovery Sports Grill Amsterdam,Bar,MCLAREN GREATER LANSING,Rehabilitation
Aelmere Residency,9988 coulter,Evelyn Vafa,(939) 762-5762,e.vafa@abc.com,4.3,75789,22,2,145,Store19,Mall19,5.5,1.2,3,2,2,4136,937,3,Coffee Beaner,Bar,MCLAREN OAKLAND,Children's hospital
Westston Heights,9768 keota,Blanche Cappuccio,(510) 652-4009,b.cappuccio@abc.com,1.8,73042,7,9,82,Store776,Mall776,1.6,9.6,9.7,1,1,2120,1324,4,Restaurant Depot,Hotel,ST JOSEPH MERCY HOSPITAL,Geriatric
Bytown Tower,6164 bond,Emmalee Paton,(832) 262-7280,e.paton@abc.com,1.5,75193,26,10,180,Store273,Mall273,7.8,3.6,8.1,1,1,4407,2048,2,Udderly Delicious,Hotel,SPARROW CARSON HOSPITAL,Psychiatric
Goldmarsh Apartment,2058 forrestville,Uta Dicesare,(479) 869-5355,u.dicesare@abc.com,1.9,77719,27,6,63,Store88,Mall88,2.1,9.5,5.3,2,3,4121,1517,2,Childrens House,Icecream,OAKLAWN HOSPITAL,Trauma centre
Beachmont Residency,1914 dan ryan la salle st,Hercules Schoeberlein-engel,(949) 586-8004,h.schoeberlein-engel@abc.com,1.1,74925,23,6,132,Store67,Mall67,5.3,8.9,1.6,1,1,3497,928,2,Ralphs Famous Italian Ices,Icecream,FOREST HEALTH MEDICAL CENTER,Rehabilitation
Greenfair Heights,2343 huntington,Grazia Ahmed,(321) 663-6412,g.ahmed@abc.com,5,77918,12,6,145,Store418,Mall418,10.1,5.9,7.7,2,2,2594,1984,4,Ralphs Ices,Icecream,ST JOHN RIVER DISTRICT HOSPITAL,Children's hospital
Landhall Tower,2133 kreiter,Toby Hervey,(865) 962-2185,t.hervey@abc.com,5,73155,26,6,132,Store864,Mall864,11,1,2.4,2,2,4348,2172,4,Allegany Mountain Resort,Resort,OAKLAWN HOSPITAL,Geriatric
Northburn Apartment,8075 luna,Klement Winter,(815) 331-7890,k.winter@abc.com,5,76307,17,6,170,Store445,Mall445,1.8,7.5,5.4,2,3,1562,1298,4,Prince Umberto Ii,FineDining,MCLAREN LAPEER REGION,Psychiatric
Aldspring Residency,5109 childrens,Maddy Baum,(631) 472-7088,m.baum@abc.com,1.4,73256,27,12,188,Store278,Mall278,2.7,2.4,10.6,2,3,2012,1596,2,Hayloft Pub,Pub,CRITTENTON HOSPITAL MEDICAL CENTER,Trauma centre
Stonemoor Heights,7137 ridgeway,Jacintha Pearson,(402) 212-1816,j.pearson@abc.com,5,76825,22,6,55,Store582,Mall582,9.2,5.3,10,1,1,1832,598,2,Homer Fire Dept Community Bldg,Cafeteria,MCLAREN MACOMB,Rehabilitation
Vertloch Tower,1164 20th,Cull Kowalski,(952) 507-9793,c.kowalski@abc.com,2.3,77768,8,12,100,Store912,Mall912,9.6,10.3,1.9,2,2,3264,1451,3,Villa Vitale,Resort,FOREST HEALTH MEDICAL CENTER,Children's hospital
Stonepine Apartment,5219 ellen,Cornelle Wayland,(612) 998-4638,c.wayland@abc.com,2.6,73367,25,3,149,Store903,Mall903,8.1,10.1,2.9,2,2,3822,469,4,Sandwich Works Cafe,Takeout,SOUTHEAST MICHIGAN SURGICAL HOSPITAL,Geriatric
Lochmist Residency,2123 early,Alyda Tsiatis,(605) 685-7111,a.tsiatis@abc.com,3,76785,14,6,90,Store931,Mall931,7.8,1.2,9.9,2,2,4371,1951,3,Iannellis,FineDining,MCLAREN LAPEER REGION,Psychiatric
Coldwolf Heights,6256 i57,Bruno Sekelsky,(781) 872-4755,b.sekelsky@abc.com,3.3,73216,17,2,173,Store921,Mall921,2.2,2.9,9.6,2,2,2062,1364,2,Grand Royale Hotel,Hotel,MCLAREN OAKLAND,Trauma centre
Oldlyn Tower,5359 cambridge,Consolata Fujimoto,(682) 163-1524,c.fujimoto@abc.com,1.8,75735,29,7,125,Store617,Mall617,9.3,9.5,8.3,1,1,3254,1588,3,Jcc Coffee Shop,Coffeehouse,HENRY FORD WYANDOTTE HOSPITAL,Rehabilitation
Goldlight Apartment,798 kennedy ib,Shelli Saleh,(318) 790-3357,s.saleh@abc.com,4.7,71121,29,9,103,Store370,Mall370,3.7,9.1,7.2,2,3,3049,1868,4,The Greenstone At Mels Bakery & Cafe Fse,Bakery,OAKLAWN HOSPITAL,Children's hospital
Snowmount Residency,730 polk,Rosina Mendousa,(864) 725-1792,r.mendousa@abc.com,2.7,74643,26,2,118,Store162,Mall162,1.8,8.8,2.1,2,3,4332,1072,2,Balmoral Home,Hotel,MCLAREN OAKLAND,Geriatric
Linley Heights,1302 arlington,Dina Mc clure,(803) 947-4385,d.mc@abc.com,2.6,78020,29,12,154,Store433,Mall433,2,7.8,10,2,3,3727,532,3,Canton Express Restaurant,Hotel,ST JOSEPH MERCY HOSPITAL,Psychiatric
Merriville Tower,2734 lsd illinois st,Willi Hotchkiss,(224) 966-4864,w.hotchkiss@abc.com,2.7,72737,9,11,172,Store683,Mall683,6.8,2.1,3.6,2,2,3326,434,3,Beggars Pizza,Pizzeria,ST JOHN MACOMB-OAKLAND HOSPITAL-MACOMB CENTER,Trauma centre
Aldoak Apartment,7970 monterey,Riordan Buckley,(682) 100-6682,r.buckley@abc.com,4.5,73312,7,10,109,Store401,Mall401,2.8,9.8,1.5,2,2,2129,645,4,Pandali Restaurant,Cafe,FOREST HEALTH MEDICAL CENTER,Rehabilitation
Vertdell Residency,6686 edward barron,Gregoire Forgione,(657) 205-4884,g.forgione@abc.com,5,75383,12,1,93,Store733,Mall733,6.5,3.2,2.3,1,1,2574,1290,4,Ponys Pub,Pub,MCLAREN PORT HURON,Children's hospital
Esterwilde Heights,6020 george,Bee Stevens-mulligan,(956) 153-7998,b.stevens-mulligan@abc.com,1.9,75496,17,4,121,Store299,Mall299,10.3,1.4,6.3,2,3,3560,1717,4,Joshuas Cafe,Cafe,ST JOSEPH MERCY HOSPITAL,Geriatric
Stonesummer Tower,4789 46th,Lana Mallein-gerin,(603) 265-8861,l.mallein-gerin@abc.com,1.8,76718,22,4,143,Store691,Mall691,4.9,3,2.7,2,2,1998,556,3,Mangiamo Pizza,Pizzeria,NORTH OTTAWA COMMUNITY HEALTH SYSTEM,Psychiatric
Aelvale Apartment,2476 cedar,Kiel Shropshire,(601) 736-4150,k.shropshire@abc.com,2.8,74192,26,10,104,Store816,Mall816,10.1,6.7,6.8,1,1,2230,418,2,Candlelight Tavern,Cafe,NORTH OTTAWA COMMUNITY HEALTH SYSTEM,Trauma centre
Westwheat Residency,5610 avenue d,Arnuad Hanrieder,(765) 363-0538,a.hanrieder@abc.com,2.8,78088,5,12,186,Store108,Mall108,3.4,2.6,10.1,2,3,2737,1960,4,A & R Bakery,Bakery,MCLAREN GREATER LANSING,Rehabilitation
Cleardale Heights,5252 gale,Reynold Christian-herot,(205) 491-5645,r.christian-herot@abc.com,5,75931,5,5,139,Store449,Mall449,1.3,6.4,4.7,1,1,3230,1501,3,Hotel Roosevelt,FineDining,MCLAREN PORT HURON,Children's hospital
Mallowbeech Tower,8518 midway park,Sibyl Hodes,(614) 157-1275,s.hodes@abc.com,5,71540,22,7,83,Store834,Mall834,7.2,10.5,10.6,2,3,2045,1370,3,Grammies Place,Takeout,MCLAREN MACOMB,Geriatric
Wellbarrow Apartment,118 47th,Shem Hooker,(727) 270-1958,s.hooker@abc.com,4.9,73947,27,12,181,Store833,Mall833,7.3,4.3,3.6,2,3,1579,1147,2,Kikkos Koffee House,Coffehouse,ST JOSEPH MERCY HOSPITAL,Psychiatric
Winterspring Residency,9541 medford,Reynold Christian-herot,(205) 491-5645,r.christian-herot@abc.com,5,75822,18,11,106,Store437,Mall437,10.6,10.4,1.3,1,1,1758,565,4,Staybridge Suites Dia,Hotel,MCLAREN MACOMB,Trauma centre
Whitemage Heights,3962 hamlin,Rona Africa,(779) 710-1867,r.africa@abc.com,4.2,71932,20,3,176,Store350,Mall350,3,3.2,7.2,2,2,1724,1930,4,Groovy Granola,Hotel,MCLAREN GREATER LANSING,Rehabilitation
Dragonnesse Tower,7737 oglesby,Beltran Castillo,(715) 648-3530,b.castillo@abc.com,4.6,77990,14,1,55,Store677,Mall677,9.2,1.4,7.6,2,2,3174,1668,3,Watkins Glen State Park Lower Gorge Snack,Cafe,ST JOHN MACOMB-OAKLAND HOSPITAL-MACOMB CENTER,Children's hospital
Fieldhurst Apartment,8521 rosemont,Marysa Klumpar,(323) 646-7060,m.klumpar@abc.com,3.9,76769,11,12,145,Store659,Mall659,2.7,7.3,10.8,2,3,2542,525,3,Cool Beans Playhouse ,Cafe,ST JOSEPH MERCY CHELSEA,Geriatric
Shadowness Residency,2835 avers,Aldous Degreeff,(938) 749-1947,a.degreeff@abc.com,4.6,78106,26,9,129,Store306,Mall306,8.5,8,2.1,2,3,2980,1821,3,Tulip Caterer,FineDining,ST JOSEPH MERCY CHELSEA,Psychiatric
Summerglass Heights,5627 kennedy kimball av,Barry Stein,(847) 839-7508,b.stein@abc.com,2.7,77525,28,10,62,Store164,Mall164,10,10.1,9.7,1,1,2485,780,3,Dear Sub,Takeout,OAKLAWN HOSPITAL,Trauma centre
Marshmeadow Tower,9413 buena,Bree Carson,(504) 907-5972,b.carson@abc.com,3.7,75973,21,9,182,Store693,Mall693,2,2.7,2.6,1,1,3195,1541,3,Fuffi 2000,FineDining,MIDMICHIGAN MEDICAL CENTER-MIDLAND,Rehabilitation
Brightborough Apartment,4657 laflin,Chance Gillogley,(551) 824-0704,c.gillogley@abc.com,4.1,73858,22,4,163,Store847,Mall847,6.6,10,9,2,3,3105,1783,3,Smother Brothers,FineDining,MIDMICHIGAN MEDICAL CENTER-MIDLAND,Children's hospital
Bridgedell Residency,5498 wilmot,Kai Tang,(770) 248-2292,k.tang@abc.com,5,76041,7,6,59,Store312,Mall312,5.2,2.3,9.3,2,2,3571,1656,2,Franklin Square Senior Center,FineDining,ST JOHN MACOMB-OAKLAND HOSPITAL-MACOMB CENTER,Geriatric
Redbank Heights,7460 nashville,Uta Dicesare,(479) 869-5355,u.dicesare@abc.com,3.9,74974,24,7,99,Store10,Mall10,1,8.4,2.7,1,1,2825,1611,3,Christian Faith Fellowship,Coffehouse,ST JOHN MACOMB-OAKLAND HOSPITAL-MACOMB CENTER,Psychiatric
Westmoor Tower,6533 16th,Lorinda Degreeff,(717) 393-5699,l.degreeff@abc.com,1.9,71247,25,2,84,Store808,Mall808,7.4,9.8,6.8,2,3,2521,1084,4,Basil Docs Crestmoor,Coffehouse,METRO HEALTH HOSPITAL,Trauma centre
